MSOA code,MSOA name,Local authority code,Local authority name,Region code,Region name,Total annual income (£),Upper confidence limit (£),Lower confidence limit (£),Confidence interval (£)
W02000152,Carmarthenshire 011,W06000010,Carmarthenshire,W92000004,Wales,43047,50433,36743,13690
W02000153,Carmarthenshire 012,W06000010,Carmarthenshire,W92000004,Wales,45669,53290,39137,14153
W02000154,Carmarthenshire 013,W06000010,Carmarthenshire,W92000004,Wales,41082,48238,34988,13250
W02000156,Carmarthenshire 015,W06000010,Carmarthenshire,W92000004,Wales,43463,50897,37115,13782
W02000157,Carmarthenshire 016,W06000010,Carmarthenshire,W92000004,Wales,43213,50498,36980,13518
W02000158,Carmarthenshire 017,W06000010,Carmarthenshire,W92000004,Wales,49284,57549,42206,15343
W02000159,Carmarthenshire 018,W06000010,Carmarthenshire,W92000004,Wales,39701,46403,33967,12436
W02000160,Carmarthenshire 019,W06000010,Carmarthenshire,W92000004,Wales,46546,54385,39836,14549
W02000161,Carmarthenshire 020,W06000010,Carmarthenshire,W92000004,Wales,41311,48396,35263,13133
W02000162,Carmarthenshire 021,W06000010,Carmarthenshire,W92000004,Wales,41296,48208,35375,12833
W02000163,Carmarthenshire 022,W06000010,Carmarthenshire,W92000004,Wales,41167,48110,35225,12885
W02000164,Carmarthenshire 023,W06000010,Carmarthenshire,W92000004,Wales,42397,49633,36216,13417
W02000165,Carmarthenshire 024,W06000010,Carmarthenshire,W92000004,Wales,40757,47532,34948,12584
W02000166,Carmarthenshire 025,W06000010,Carmarthenshire,W92000004,Wales,42927,50058,36812,13246
W02000167,Carmarthenshire 026,W06000010,Carmarthenshire,W92000004,Wales,38049,46033,31449,14584
W02000418,Carmarthenshire 027,W06000010,Carmarthenshire,W92000004,Wales,42654,49769,36556,13213
W02000168,Swansea 001,W06000011,Swansea,W92000004,Wales,47489,55417,40694,14723
W02000169,Swansea 002,W06000011,Swansea,W92000004,Wales,43333,50708,37032,13676
W02000170,Swansea 003,W06000011,Swansea,W92000004,Wales,50230,59142,42661,16481
W02000171,Swansea 004,W06000011,Swansea,W92000004,Wales,55087,64738,46875,17863
W02000172,Swansea 005,W06000011,Swansea,W92000004,Wales,41584,48560,35610,12950
W02000173,Swansea 006,W06000011,Swansea,W92000004,Wales,52772,61779,45078,16701
W02000174,Swansea 007,W06000011,Swansea,W92000004,Wales,48271,56368,41337,15031
W02000175,Swansea 008,W06000011,Swansea,W92000004,Wales,39822,46482,34117,12365
W02000176,Swansea 009,W06000011,Swansea,W92000004,Wales,39324,45908,33684,12224
W02000177,Swansea 010,W06000011,Swansea,W92000004,Wales,46378,54153,39719,14434
W02000178,Swansea 011,W06000011,Swansea,W92000004,Wales,36986,43360,31549,11811
W02000179,Swansea 012,W06000011,Swansea,W92000004,Wales,47372,58014,38682,19332
W02000180,Swansea 013,W06000011,Swansea,W92000004,Wales,38522,45124,32886,12238
W02000181,Swansea 014,W06000011,Swansea,W92000004,Wales,37126,43344,31800,11544
W02000182,Swansea 015,W06000011,Swansea,W92000004,Wales,41256,48323,35223,13100
W02000183,Swansea 016,W06000011,Swansea,W92000004,Wales,38973,46107,32942,13165
W02000184,Swansea 017,W06000011,Swansea,W92000004,Wales,42863,50009,36738,13271
W02000185,Swansea 018,W06000011,Swansea,W92000004,Wales,50785,60730,42468,18262
W02000186,Swansea 019,W06000011,Swansea,W92000004,Wales,34561,40971,29154,11817
W02000188,Swansea 021,W06000011,Swansea,W92000004,Wales,39787,47484,33338,14146
W02000189,Swansea 022,W06000011,Swansea,W92000004,Wales,46409,54513,39509,15004
W02000191,Swansea 024,W06000011,Swansea,W92000004,Wales,50145,59097,42549,16548
W02000192,Swansea 025,W06000011,Swansea,W92000004,Wales,35769,42478,30120,12358
W02000193,Swansea 026,W06000011,Swansea,W92000004,Wales,44995,55436,36520,18916
W02000194,Swansea 027,W06000011,Swansea,W92000004,Wales,58639,70639,48677,21962
W02000195,Swansea 028,W06000011,Swansea,W92000004,Wales,58461,68767,49699,19068
W02000196,Swansea 029,W06000011,Swansea,W92000004,Wales,46730,54773,39868,14905
W02000197,Swansea 030,W06000011,Swansea,W92000004,Wales,55251,64718,47169,17549
W02000198,Swansea 031,W06000011,Swansea,W92000004,Wales,54538,64012,46465,17547
W02000428,Swansea 032,W06000011,Swansea,W92000004,Wales,54140,63331,46282,17049
W02000200,Neath Port Talbot 002,W06000012,Neath Port Talbot,W92000004,Wales,43160,50575,36833,13742
W02000201,Neath Port Talbot 003,W06000012,Neath Port Talbot,W92000004,Wales,40342,47141,34523,12618
W02000202,Neath Port Talbot 004,W06000012,Neath Port Talbot,W92000004,Wales,46770,54592,40069,14523
W02000204,Neath Port Talbot 006,W06000012,Neath Port Talbot,W92000004,Wales,51122,61172,42722,18450
W02000205,Neath Port Talbot 007,W06000012,Neath Port Talbot,W92000004,Wales,39436,46203,33660,12543
W02000206,Neath Port Talbot 008,W06000012,Neath Port Talbot,W92000004,Wales,36615,44375,30212,14163
W02000207,Neath Port Talbot 009,W06000012,Neath Port Talbot,W92000004,Wales,46136,53914,39480,14434
W02000208,Neath Port Talbot 010,W06000012,Neath Port Talbot,W92000004,Wales,46619,54437,39924,14513
W02000210,Neath Port Talbot 012,W06000012,Neath Port Talbot,W92000004,Wales,43558,51182,37070,14112
W02000211,Neath Port Talbot 013,W06000012,Neath Port Talbot,W92000004,Wales,40083,47468,33847,13621
W02000212,Neath Port Talbot 014,W06000012,Neath Port Talbot,W92000004,Wales,41620,48811,35488,13323
W02000213,Neath Port Talbot 015,W06000012,Neath Port Talbot,W92000004,Wales,46068,54011,39293,14718
W02000214,Neath Port Talbot 016,W06000012,Neath Port Talbot,W92000004,Wales,36425,42718,31059,11659
W02000215,Neath Port Talbot 017,W06000012,Neath Port Talbot,W92000004,Wales,36165,42458,30804,11654
W02000216,Neath Port Talbot 018,W06000012,Neath Port Talbot,W92000004,Wales,40065,47100,34081,13019
W02000217,Neath Port Talbot 019,W06000012,Neath Port Talbot,W92000004,Wales,46477,54334,39755,14579
W02000417,Neath Port Talbot 020,W06000012,Neath Port Talbot,W92000004,Wales,38379,44841,32848,11993
W02000427,Neath Port Talbot 021,W06000012,Neath Port Talbot,W92000004,Wales,39410,46030,33743,12287
W02000218,Bridgend 001,W06000013,Bridgend,W92000004,Wales,33363,39357,28282,11075
W02000219,Bridgend 002,W06000013,Bridgend,W92000004,Wales,37624,43994,32177,11817
W02000220,Bridgend 003,W06000013,Bridgend,W92000004,Wales,37997,44398,32520,11878
W02000221,Bridgend 004,W06000013,Bridgend,W92000004,Wales,37185,43466,31812,11654
W02000222,Bridgend 005,W06000013,Bridgend,W92000004,Wales,43393,51032,36898,14134
W02000223,Bridgend 006,W06000013,Bridgend,W92000004,Wales,44490,51899,38139,13760
W02000224,Bridgend 007,W06000013,Bridgend,W92000004,Wales,42399,49549,36281,13268
W02000225,Bridgend 008,W06000013,Bridgend,W92000004,Wales,38933,45445,33355,12090
W02000226,Bridgend 009,W06000013,Bridgend,W92000004,Wales,48531,56741,41508,15233
W02000227,Bridgend 010,W06000013,Bridgend,W92000004,Wales,42169,49192,36149,13043
W02000228,Bridgend 011,W06000013,Bridgend,W92000004,Wales,58312,68386,49722,18664
W02000229,Bridgend 012,W06000013,Bridgend,W92000004,Wales,38006,44797,32244,12553
W02000230,Bridgend 013,W06000013,Bridgend,W92000004,Wales,55026,64396,47019,17377
W02000231,Bridgend 014,W06000013,Bridgend,W92000004,Wales,40859,47664,35026,12638
W02000232,Bridgend 015,W06000013,Bridgend,W92000004,Wales,50476,59154,43071,16083
W02000233,Bridgend 016,W06000013,Bridgend,W92000004,Wales,45216,52985,38586,14399
W02000234,Bridgend 017,W06000013,Bridgend,W92000004,Wales,58729,68611,50271,18340
W02000235,Bridgend 018,W06000013,Bridgend,W92000004,Wales,46791,54725,40007,14718
W02000236,Bridgend 019,W06000013,Bridgend,W92000004,Wales,41944,49006,35899,13107
W02000237,Vale of Glamorgan 001,W06000014,Vale of Glamorgan,W92000004,Wales,60604,71400,51440,19960
W02000238,Vale of Glamorgan 002,W06000014,Vale of Glamorgan,W92000004,Wales,56812,69123,46693,22430
W02000239,Vale of Glamorgan 003,W06000014,Vale of Glamorgan,W92000004,Wales,56862,67106,48182,18924
W02000240,Vale of Glamorgan 004,W06000014,Vale of Glamorgan,W92000004,Wales,48781,57890,41105,16785
W02000241,Vale of Glamorgan 005,W06000014,Vale of Glamorgan,W92000004,Wales,55187,64589,47154,17435
W02000242,Vale of Glamorgan 006,W06000014,Vale of Glamorgan,W92000004,Wales,56867,66726,48464,18262
W02000243,Vale of Glamorgan 007,W06000014,Vale of Glamorgan,W92000004,Wales,39158,45883,33418,12465
W02000244,Vale of Glamorgan 008,W06000014,Vale of Glamorgan,W92000004,Wales,51967,61345,44023,17322
W02000245,Vale of Glamorgan 009,W06000014,Vale of Glamorgan,W92000004,Wales,43799,51247,37434,13813
W02000246,Vale of Glamorgan 010,W06000014,Vale of Glamorgan,W92000004,Wales,50629,59419,43140,16279
W02000247,Vale of Glamorgan 011,W06000014,Vale of Glamorgan,W92000004,Wales,47471,57627,39106,18521
W02000248,Vale of Glamorgan 012,W06000014,Vale of Glamorgan,W92000004,Wales,41470,48475,35477,12998
W02000249,Vale of Glamorgan 013,W06000014,Vale of Glamorgan,W92000004,Wales,42759,50194,36425,13769
W02000250,Vale of Glamorgan 014,W06000014,Vale of Glamorgan,W92000004,Wales,54413,63565,46578,16987
W02000251,Vale of Glamorgan 015,W06000014,Vale of Glamorgan,W92000004,Wales,47307,55209,40537,14672
W02000367,Cardiff 001,W06000015,Cardiff,W92000004,Wales,59868,73227,48946,24281
W02000368,Cardiff 002,W06000015,Cardiff,W92000004,Wales,58165,68763,49201,19562
W02000369,Cardiff 003,W06000015,Cardiff,W92000004,Wales,68205,79997,58151,21846
W02000370,Cardiff 004,W06000015,Cardiff,W92000004,Wales,57414,67762,48647,19115
W02000371,Cardiff 005,W06000015,Cardiff,W92000004,Wales,48228,56478,41182,15296
W02000372,Cardiff 006,W06000015,Cardiff,W92000004,Wales,67712,83160,55134,28026
W02000373,Cardiff 007,W06000015,Cardiff,W92000004,Wales,39355,46214,33513,12701
W02000374,Cardiff 008,W06000015,Cardiff,W92000004,Wales,66282,78170,56201,21969
W02000375,Cardiff 009,W06000015,Cardiff,W92000004,Wales,47808,56662,40338,16324
W02000376,Cardiff 010,W06000015,Cardiff,W92000004,Wales,53169,62148,45487,16661
W02000377,Cardiff 011,W06000015,Cardiff,W92000004,Wales,49651,58531,42118,16413
W02000378,Cardiff 012,W06000015,Cardiff,W92000004,Wales,62727,73393,53611,19782
W02000379,Cardiff 013,W06000015,Cardiff,W92000004,Wales,38667,45272,33025,12247
W02000380,Cardiff 014,W06000015,Cardiff,W92000004,Wales,65464,77333,55417,21916
W02000381,Cardiff 015,W06000015,Cardiff,W92000004,Wales,42189,49362,36058,13304
W02000382,Cardiff 016,W06000015,Cardiff,W92000004,Wales,38599,45263,32916,12347
W02000383,Cardiff 017,W06000015,Cardiff,W92000004,Wales,44396,52340,37657,14683
W02000384,Cardiff 018,W06000015,Cardiff,W92000004,Wales,63867,75239,54214,21025
W02000385,Cardiff 019,W06000015,Cardiff,W92000004,Wales,64661,76633,54559,22074
W02000386,Cardiff 020,W06000015,Cardiff,W92000004,Wales,56744,66623,48330,18293
W02000387,Cardiff 021,W06000015,Cardiff,W92000004,Wales,56337,65844,48204,17640
W02000388,Cardiff 022,W06000015,Cardiff,W92000004,Wales,45614,53528,38871,14657
W02000389,Cardiff 023,W06000015,Cardiff,W92000004,Wales,46797,55080,39760,15320
W02000390,Cardiff 024,W06000015,Cardiff,W92000004,Wales,60155,70393,51407,18986
W02000391,Cardiff 025,W06000015,Cardiff,W92000004,Wales,61099,73474,50808,22666
W02000392,Cardiff 026,W06000015,Cardiff,W92000004,Wales,58602,69878,49145,20733
W02000393,Cardiff 027,W06000015,Cardiff,W92000004,Wales,44894,52430,38440,13990
W02000394,Cardiff 028,W06000015,Cardiff,W92000004,Wales,49503,61171,40061,21110
W02000395,Cardiff 029,W06000015,Cardiff,W92000004,Wales,57354,67419,48792,18627
W02000396,Cardiff 030,W06000015,Cardiff,W92000004,Wales,55078,66265,45780,20485
W02000397,Cardiff 031,W06000015,Cardiff,W92000004,Wales,46596,55123,39387,15736
W02000398,Cardiff 032,W06000015,Cardiff,W92000004,Wales,50267,63181,39993,23188
W02000399,Cardiff 033,W06000015,Cardiff,W92000004,Wales,44538,54350,36498,17852
W02000400,Cardiff 034,W06000015,Cardiff,W92000004,Wales,57017,67470,48184,19286
W02000401,Cardiff 035,W06000015,Cardiff,W92000004,Wales,51932,61053,44174,16879
W02000402,Cardiff 036,W06000015,Cardiff,W92000004,Wales,43835,51919,37010,14909
W02000403,Cardiff 037,W06000015,Cardiff,W92000004,Wales,43204,50474,36982,13492
W02000404,Cardiff 038,W06000015,Cardiff,W92000004,Wales,39148,46043,33286,12757
W02000405,Cardiff 039,W06000015,Cardiff,W92000004,Wales,35069,41337,29751,11586
W02000406,Cardiff 040,W06000015,Cardiff,W92000004,Wales,49249,57752,41998,15754
W02000407,Cardiff 041,W06000015,Cardiff,W92000004,Wales,37268,43618,31842,11776
W02000408,Cardiff 042,W06000015,Cardiff,W92000004,Wales,44691,54604,36577,18027
W02000409,Cardiff 043,W06000015,Cardiff,W92000004,Wales,42341,49654,36106,13548
W02000410,Cardiff 044,W06000015,Cardiff,W92000004,Wales,43678,52511,36331,16180
W02000411,Cardiff 045,W06000015,Cardiff,W92000004,Wales,40290,48967,33150,15817
W02000412,Cardiff 046,W06000015,Cardiff,W92000004,Wales,41686,48683,35694,12989
W02000422,Cardiff 048,W06000015,Cardiff,W92000004,Wales,58525,70592,48522,22070
W02000423,Cardiff 049,W06000015,Cardiff,W92000004,Wales,49442,58327,41910,16417
W02000252,Rhondda Cynon Taf 001,W06000016,Rhondda Cynon Taf,W92000004,Wales,38216,44832,32576,12256
W02000253,Rhondda Cynon Taf 002,W06000016,Rhondda Cynon Taf,W92000004,Wales,39476,46281,33671,12610
W02000254,Rhondda Cynon Taf 003,W06000016,Rhondda Cynon Taf,W92000004,Wales,42960,50235,36738,13497
W02000255,Rhondda Cynon Taf 004,W06000016,Rhondda Cynon Taf,W92000004,Wales,42583,49672,36506,13166
W02000256,Rhondda Cynon Taf 005,W06000016,Rhondda Cynon Taf,W92000004,Wales,38465,45882,32246,13636
W02000257,Rhondda Cynon Taf 006,W06000016,Rhondda Cynon Taf,W92000004,Wales,40773,48066,34587,13479
W02000258,Rhondda Cynon Taf 007,W06000016,Rhondda Cynon Taf,W92000004,Wales,34364,40234,29350,10884
W02000259,Rhondda Cynon Taf 008,W06000016,Rhondda Cynon Taf,W92000004,Wales,37367,44152,31624,12528
W02000260,Rhondda Cynon Taf 009,W06000016,Rhondda Cynon Taf,W92000004,Wales,38100,45008,32252,12756
W02000261,Rhondda Cynon Taf 010,W06000016,Rhondda Cynon Taf,W92000004,Wales,38603,45153,33003,12150
W02000262,Rhondda Cynon Taf 011,W06000016,Rhondda Cynon Taf,W92000004,Wales,40547,47350,34721,12629
W02000263,Rhondda Cynon Taf 012,W06000016,Rhondda Cynon Taf,W92000004,Wales,41639,49804,34813,14991
W02000264,Rhondda Cynon Taf 013,W06000016,Rhondda Cynon Taf,W92000004,Wales,36619,42909,31251,11658
W02000265,Rhondda Cynon Taf 014,W06000016,Rhondda Cynon Taf,W92000004,Wales,36962,43390,31486,11904
W02000266,Rhondda Cynon Taf 015,W06000016,Rhondda Cynon Taf,W92000004,Wales,40927,47922,34953,12969
